softwareId,softwareName,softwareType,systemId
514,Wonder Stadium,Game,6
515,Wonder Stadium '99,Game,6
516,WonderSwan Handy Sonar,Game,6
517,Internal Thermal Printer,BIOS,7
518,Anime Land,Game,7
519,Dream Change - Kogane-chan no Fashion Party,Game,7
520,HARIHARI Seal Paradise,Game,7
521,Nigaoe Artist,Game,7
522,Pasocom Collection,Game,7
523,Wanwan Aijou Monogatari,Game,7
524,Amidar,Game,8
525,Excite Mahjong,Game,8
526,Pachinko-UFO,Game,8
527,Pooyan,Game,8
528,Super Cobra,Game,8
529,ColecoVision,BIOS,9
530,2010 - The Graphic Action Game,Game,9
531,"Activision Decathlon, The",Game,9
532,Adam's Musicbox Demo,Game,9
533,Alcazar - The Forgotten Fortress,Game,9
534,Alphabet Zoo,Game,9
535,Amazing Bumpman,Game,9
536,Antarctic Adventure,Game,9
537,Aquattack,Game,9
538,Artillery Duel,Game,9
539,BC's Quest for Tires,Game,9
540,BC's Quest for Tires II - Grog's Revenge,Game,9
541,Beamrider,Game,9
542,Blockade Runner,Game,9
543,Boulder Dash,Game,9
544,Brain Strainers,Game,9
545,Buck Rogers - Planet of Zoom,Game,9
546,Bump 'N' Jump,Game,9
547,BurgerTime,Game,9
548,Cabbage Patch Kids - Adventures in the Park,Game,9
549,Cabbage Patch Kids Picture Show,Game,9
550,Campaign '84,Game,9
551,Carnival,Game,9
552,Centipede,Game,9
553,Choplifter,Game,9
554,Chuck Norris - Super Kicks,Game,9
555,ColecoVision Monitor Test,Game,9
556,Congo Bongo,Game,9
557,Cosmic Avenger,Game,9
558,Cosmic Crisis,Game,9
559,"Dam Busters, The",Game,9
560,Dance Fantasy,Game,9
561,Defender,Game,9
562,Destructor,Game,9
563,Dig Dug,Game,9
564,Donkey Kong,Game,9
565,Donkey Kong Jr,Game,9
566,Dr. Seuss's Fix-Up the Mix-Up Puzzler,Game,9
567,Dragonfire,Game,9
568,"Dukes of Hazzard, The",Game,9
569,Escape from the MindMaster,Game,9
570,Evolution,Game,9
571,Facemaker,Game,9
572,Fall Guy,Game,9
573,Fathom,Game,9
574,Final Test Cartridge,Game,9
575,Flipper Slipper,Game,9
576,Fortune Builder,Game,9
577,Fraction Fever,Game,9
578,Frantic Freddy,Game,9
579,Frenzy,Game,9
580,Frogger,Game,9
581,Frogger II - ThreeeDeep!,Game,9
582,From Out of the Jungle - Tarzan,Game,9
583,Frontline,Game,9
584,Galaxian,Game,9
585,Gateway to Apshai,Game,9
586,Gorf,Game,9
587,Gust Buster,Game,9
588,Gyruss,Game,9
589,H.E.R.O,Game,9
590,"Heist, The",Game,9
591,Illusions,Game,9
592,It's Only Rock 'N' Roll,Game,9
593,James Bond,Game,9
594,Joust,Game,9
595,Juke Box,Game,9
596,Jumpman Junior,Game,9
597,Jungle Hunt,Game,9
598,Ken Uston Blackjack-Poker,Game,9
599,Keystone Kapers,Game,9
600,Lady Bug,Game,9
601,Learning with Leeper,Game,9
602,Linking Logic,Game,9
603,Logic Levels,Game,9
604,Looping,Game,9
605,M.A.S.H,Game,9
606,Memory Manor,Game,9
607,Meteoric Shower,Game,9
608,Miner 2049er Starring Bounty Bob,Game,9
609,Monkey Academy,Game,9
610,Montezuma's Revenge,Game,9
611,Moon Patrol,Game,9
612,Moonsweeper,Game,9
613,Motocross Racer,Game,9
614,Mountain King,Game,9
615,Mousetrap,Game,9
616,Mr. Do!,Game,9
617,Mr. Do!'s Castle,Game,9
